Date, Open, High, Low, Close
10/21/20,5889.22,5903.38,5769.62,5776.5
10/20/20,5884.65,5915.47,ERR,5889.22
10/19/20,5919.58,5959.67,5871.95,5884.65
10/16/20,5832.52,5933.81,5832.52,5919.58
10/15/20,5935.06,5935.06,5786.2,5832.52
10/14/20,5969.71,60009.81,5926.49,5935.06
10/13/20,6001.38,6008.04,5949.97,5969.71
10/12/2020,6016.65,6037.08,5995.11,6001.38
10/09/2020,5978.03,6040.47,5978.03,6016.65
10/08/2020,5946.25,6004.15,5929.41,5978.03
10/07/2020,5949.94,5977.15,5929.16,5946.25
10/06/2020,5942.94,5971.48,5903.4,5949.94
10/05/2020,5902.12,5974.22,5902.12,5942.94
10/02/2020,5879.45,5902.12,5809.61,5902.12
10/01/2020,5866.1,5925.77,5849.82,5879.45
09/30/20,5897.5,5931.37,5854.46,5866.1
09/29/20,5927.93,5927.93,5862.93,5897.5
09/28/20,5842.67,5954.42,5842.67,5927.93
09/25/20,5822.78,5843.72,5771.49,5842.67
09/24/20,5899.26,5899.26,5805.28,5822.78
09/23/20,5829.46,5974.88,5829.46,5899.26
09/22/20,5804.29,5871.28,5794.54,5829.46
09/21/20,6007.05,6007.05,5779.24,5804.29
09/18/20,6049.92,6055.24,6006.28,6007.05
09/17/20,6078.48,6078.48,5998.69,6049.92
09/16/20,6105.54,6119.24,6057.63,6078.48
09/15/20,6026.25,6123.69,6026.17,6105.54
09/14/20,6032.09,6080.02,6011.83,6026.25
09/11/2020,6003.32,6057.69,5992.93,6032.09
09/10/2020,6012.84,6028.76,5950.62,6003.32
09/09/2020,5930.3,6031.25,5923.43,6012.84
09/08/2020,5937.4,5985.26,5868.87,5930.3
09/07/2020,5799.08,5946.93,5798.47,5937.4
09/04/2020,5850.86,5904.16,5778.4,5799.08
09/03/2020,5940.95,5996.24,5838.02,5850.86
09/02/2020,5862.05,5974.7,5862.05,5940.95
09/01/2020,5963.57,5972.52,5824.04,5862.05
08/28/20,5999.99,6033.04,5962.46,5963.57
08/27/20,6045.6,6062.52,5999.99,5999.99
08/26/20,6037.01,6050.81,5992.22,6045.6
08/25/20,6104.73,6173.48,6032.1,6037.01
08/24/20,6001.89,6119.8,6001.89,6104.73
08/21/20,6013.34,6036.51,5948.8,6001.89
08/20/20,6111.98,6111.98,6009.61,6013.34
08/19/20,6076.62,6114.83,6045,6111.98
08/18/20,6127.44,6162.66,6062.58,6076.62
08/17/20,6090.04,6140.19,6061.46,6127.44
08/14/20,6185.62,6185.62,6036.13,6090.04
08/13/20,6280.12,6280.12,6185.62,6185.62
08/12/2020,6154.34,6297.2,6151.64,6280.12
08/11/2020,6050.59,6206,6050.59,6154.34
08/10/2020,6032.18,6099.48,6028.49,6050.59
08/07/2020,6026.94,6046.02,5996.73,6032.18
08/06/2020,6104.72,6104.72,5980.44,6026.94
08/05/2020,6036,6111.5,6036,6104.72
08/04/2020,6032.85,6056.47,5986.77,6036
08/03/2020,5897.76,6038.76,5857.06,6032.85
07/31/20,5989.99,6046.33,5897.76,5897.76
07/30/20,6131.46,6145.83,5924.7,5989.99
07/29/20,6129.26,6155.06,6116.72,6131.46
07/28/20,6104.88,6149.86,6083.65,6129.26
07/27/20,6123.82,6127.62,6086.64,6104.88
ERR,6211.44,6211.44,6099.06,6123.82
07/23/20,6207.1,6273.63,6202.9,6211.44
07/22/20,6269.73,6270.96,6197.45,6207.1
07/21/20,6261.52,6315.68,6253.9,6269.73
07/20/20,6290.3,6297.64,6222.15,6261.52
07/17/20,6250.69,6293.68,6230.01,6290.3
07/16/20,6292.65,6296.78,6227.33,6250.69
07/15/20,6179.75,6323.55,6179.75,6292.65
07/14/20,6176.19,6179.75,6093.23,6179.75
07/13/20,6095.41,6187.33,6095.41,6176.19
07/10/2020,6049.62,6108.2,6003.19,6095.41
07/09/2020,6156.16,6176.84,6040.26,6049.62
07/08/2020,6189.9,6208.43,6144.52,6156.16
07/07/2020,6285.94,6285.94,6179.97,6189.9
07/06/2020,6157.3,6304.19,6157.3,6285.94
07/03/2020,6240.36,6262.71,6137.09,6157.3
07/02/2020,6157.96,6258.6,6157.96,6240.36
07/01/2020,6169.74,6201.95,6084.48,6157.96
06/30/20,6225.77,6237.51,6146.98,6169.74
06/29/20,6159.3,6251.96,6122.95,6225.77
06/26/20,6147.14,6262.13,6147.14,6159.3
06/25/20,6123.69,6162.44,6029.25,6147.14
06/24/20,6320.12,6320.12,6123.69,6123.69
06/23/20,6244.62,6342.19,6244.62,6320.12
06/22/20,6292.6,6309.04,6225.53,6244.62
06/19/20,6224.07,6319.81,6224.07,6292.6
06/18/20,6253.25,6284.96,6184.88,6224.07
06/17/20,6242.79,6309.74,6233.24,6253.25
06/16/20,6064.7,6299.02,6064.7,6242.79
06/15/20,6105.18,6105.18,5952.44,6064.7
06/12/2020,6076.7,6184.29,5993.2,6105.18
06/11/2020,6329.13,6329.13,6076.7,6076.7
06/10/2020,6335.72,6387.35,6293.83,6329.13
06/09/2020,6472.59,6475.01,6325.07,6335.72
06/08/2020,6484.3,6511.84,6423.06,6472.59
06/05/2020,6341.44,6489.99,6341.44,6484.3
06/04/2020,6382.41,6402.57,6314.59,6341.44
06/03/2020,6220.14,6394.7,6220.14,6382.41
06/02/2020,6166.42,6238.25,6165.05,6220.14
06/01/2020,6076.6,6179.34,6076.6,6166.42
05/29/20,6218.79,6218.79,6060.16,6076.6
05/28/20,6144.25,6234.04,6144.25,6218.79
05/27/20,6067.76,6167.96,6067.76,6144.25
05/26/20,5993.28,6130.12,5993.28,6067.76
05/22/20,6015.25,6015.25,5888.58,5993.28
05/21/20,6067.16,6093.74,6004.1,6015.25
05/20/20,6002.23,6074.46,5961.56,6067.16
05/19/20,ERR,6111.96,5965.1,6002.23
05/18/20,5799.77,6058.17,5799.61,6048.59
05/15/20,5741.54,5837.88,5741.54,5799.77
05/14/20,5904.05,5904.05,5661.14,5741.54
05/13/20,5994.77,5994.77,5893.35,5904.05
05/12/2020,5939.73,6012.98,5911.37,5994.77
05/11/2020,5935.98,5999.13,5898.32,5939.73
05/07/2020,5853.76,5941.86,5853.6,5935.98
05/06/2020,5849.42,5897.44,5839.57,5853.76
05/05/2020,5753.78,5869.45,5753.78,5849.42
05/04/2020,5763.06,5792.85,5702.03,5753.78
05/01/2020,5901.21,5901.21,5746.06,5763.06
04/30/20,6115.25,6151.58,5897.91,5901.21
04/29/20,5958.5,6129.6,5950.83,6115.25
04/28/20,5846.79,5977.76,5835.92,5958.5
04/27/20,5752.23,5855.61,5752.23,5846.79
04/24/20,5826.61,5827.24,5728.8,5752.23
04/23/20,5770.63,5843.61,5735.93,5826.61
04/22/20,5641.03,5777.06,5641.03,5770.63
04/21/20,5812.83,5812.83,5641.03,5641.03
04/20/20,5786.96,5823.93,5707.73,5812.83
04/17/20,5628.43,5839.33,5628.43,5786.96
04/16/20,5597.65,5657.63,5577.78,5628.43
04/15/20,5791.31,5791.71,5576.35,5597.65
04/14/20,5842.66,5894.71,5778.98,5791.31
04/13/20,5842.66,5842.66,5842.66,5842.66
04/10/2020,5842.66,5842.66,5842.66,5842.66
04/09/2020,5677.73,5842.66,5677.68,5842.66
04/08/2020,5704.45,5704.45,5589.73,5677.73
04/07/2020,5582.39,5780.21,5582.39,5704.45
04/06/2020,5415.5,5590.58,5415.5,5582.39
04/03/2020,5480.22,5486.29,5396.66,5415.5
04/02/2020,5454.57,5552.36,5395.07,5480.22
04/01/2020,5671.96,5671.96,5414.72,5454.57
03/31/20,5563.74,5702.66,5545.85,5671.96
03/30/20,5510.33,5567.2,5351.84,5563.74
ERR,5815.73,5815.73,5407.06,5510.33
